origin_cell,dest_cell,flow
897a8dcacd7ffff,897a8dc120bffff,3
897a8dcacd7ffff,897a8dcac53ffff,3
897a8dca127ffff,897a8dcacd7ffff,3
897a8dcaccbffff,897a8dc120bffff,3
897a8dc1227ffff,897a8dca1a3ffff,3
897a8dca1a3ffff,897a8dcac93ffff,3
897a8dc1247ffff,897a8dcac17ffff,3
897a8dcacc7ffff,897a8dcacc3ffff,2
897a8dc1273ffff,897a8dca1b3ffff,2
897a8dc1223ffff,897a8dcacd7ffff,2
897a8dc1273ffff,897a8dc123bffff,2
897a8dc120bffff,897a8dc123bffff,2
897a8dcacc7ffff,897a8dc1273ffff,2
897a8dca1a3ffff,897a8dca1b7ffff,2
897a8dc122fffff,897a8dc1273ffff,2
897a8dc1227ffff,897a8dc123bffff,2
897a8dcaccbffff,897a8dcac93ffff,2
897a8dc1207ffff,897a8dc1227ffff,2
897a8dc123bffff,897a8dc1277ffff,2
897a8dc123bffff,897a8dcac57ffff,2
897a8dca1a3ffff,897a8dc1263ffff,2
897a8dc126fffff,897a8dca1a3ffff,2
897a8dc134bffff,897a8dc12abffff,2
897a8dca1b7ffff,897a8dc1233ffff,2
897a8dcac57ffff,897a8dc123bffff,2
897a8dc1273ffff,897a8dc120bffff,2
897a8dcac87ffff,897a8dcac93ffff,2
897a8dc1247ffff,897a8dcacd7ffff,2
897a8dc126fffff,897a8dc1233ffff,2
897a8dc1227ffff,897a8dc1263ffff,2
897a8dcacd7ffff,897a8dcac5bffff,2
897a8dcacd7ffff,897a8dcacc7ffff,2
897a8dc12afffff,897a8dc1233ffff,2
897a8dcacc3ffff,897a8dc1273ffff,2
897a8dc1273ffff,897a8dcac97ffff,2
897a8dcacd7ffff,897a8dcac13ffff,2
897a8dcac87ffff,897a8dc127bffff,2
897a8dcac93ffff,897a8dc124fffff,2
897a8dc127bffff,897a8dcac8fffff,2
897a8dcac57ffff,897a8dcacd7ffff,2
897a8dc134bffff,897a8dc1247ffff,2
897a8dcac93ffff,897a8dc1223ffff,2
897a8dc120bffff,897a8dcac9bffff,2
897a8dc134bffff,897a8dcac87ffff,2
897a8dc1273ffff,897a8dcac53ffff,2
897a8dca1a3ffff,897a8dc1257ffff,2
897a8dca1a3ffff,897a8dcacd7ffff,2
897a8dcaccfffff,897a8dc1263ffff,2
897a8dc1277ffff,897a8dc1263ffff,2
897a8dc1277ffff,897a8dcacc7ffff,2
897a8dc1227ffff,897a8dcaccfffff,2
897a8dc120fffff,897a8dc1223ffff,2
897a8dca1b7ffff,897a8dc120bffff,2
897a8dc127bffff,897a8dcaccbffff,2
897a8dc1233ffff,897a8dc1223ffff,2
897a8dc1263ffff,897a8dc1247ffff,2
897a8dcac17ffff,897a8dc1277ffff,2
897a8dcacc7ffff,897a8dc1277ffff,2
897a8dc120fffff,897a8dcac43ffff,2
897a8dc1277ffff,897a8dc1267ffff,2
897a8dca1a3ffff,897a8dcaccfffff,2
897a8dcac97ffff,897a8dcacd7ffff,2
897a8dcaccbffff,897a8dcacc7ffff,2
897a8dc1233ffff,897a8dc120fffff,2
897a8dc120bffff,897a8dc127bffff,2
897a8dcac87ffff,897a8dcacc7ffff,2
897a8dcac9bffff,897a8dc1247ffff,2
